銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
8137,サンワテクノス(株),1070,1107,1066,1070,1082,36800,15449,14438000,2.62,28.0,6.14,0.7,174.13,1534.56,107000,100,1444,990
8159,(株)立花エレテック,1275,1301,1272,1280,1290,15700,33312,26025242,1.88,24.0,9.52,0.61,134.52,2099.33,128000,100,1600,1201
8184,(株)島忠,2779,2830,2758,2771,2856,305300,142399,51389104,2.17,60.0,13.53,0.68,204.74,4052.71,277100,100,3625,2676
8214,(株)ＡＯＫＩホールディングス,1402,1434,1388,1398,1440,273900,127567,91249504,2.86,40.0,11.26,0.91,124.17,1535.0,139800,100,1840,1159
8218,(株)コメリ,2593,2666,2580,2618,2623,208400,142443,54409168,1.38,36.0,16.55,0.93,158.15,2813.73,261800,100,3155,2264
8227,(株)しまむら,10800,11320,10750,11020,11040,156900,406785,36913299,1.72,190.0,13.71,1.4,803.87,7880.83,1102000,100,13620,9500
8233,(株)高島屋,980,1004,972,978,987,2517000,347698,355518963,1.02,10.0,14.88,0.85,65.72,1147.07,978000,1000,1265,926
8253,(株)クレディセゾン,2317,2391,2304,2318,2364,700800,429861,185444772,1.51,35.0,12.17,0.93,190.52,2496.69,231800,100,2836,1930
8267,イオン(株),1690,1746,1666,1696,1744,7644700,1478784,871924572,1.65,28.0,33.35,1.17,50.86,1447.05,169600,100,2033,1126
8270,ユニーグループ・ホールディングス(株),717,729,707,711,731,2583400,166446,234100821,2.81,20.0,34.08,0.57,20.86,1239.51,71100,100,877,602
8273,(株)イズミ,4855,5110,4835,4975,4925,164100,392338,78861920,1.13,56.0,19.75,2.58,251.89,1928.67,497500,100,6170,4000
8279,(株)ヤオコー,5810,6070,5780,5900,5980,150600,236081,40013722,0.68,40.0,26.3,3.67,224.32,1609.6,590000,100,7030,3390
8282,(株)ケーズホールディングス,3590,3700,3560,3580,3635,453200,218476,61026739,2.23,80.0,10.63,1.05,336.66,3415.04,358000,100,4860,2901
8303,(株)新生銀行,247,257,245,251,254,22181000,690337,2750346891,0.4,1.0,9.51,0.88,26.38,283.97,251000,1000,291,187
8304,(株)あおぞら銀行,423,438,422,428,435,13108000,506279,1182894181,4.3,18.4,11.61,1.26,36.87,340.96,428000,1000,490,372
8306,(株)三菱ＵＦＪフィナンシャル・グループ,750,787,748,767,777,93995700,10868928,14168853820,2.35,18.0,,0.71,,1087.02,76710,100,937,604
8308,(株)りそなホールディングス,582,607,582,590,594,9987300,1372392,2324118014,2.88,17.0,7.82,0.84,75.49,706.13,59050,100,727,545
8309,三井住友トラスト・ホールディングス(株),475,490,473,479,489,19811000,1871331,3903486408,2.71,13.0,11.22,0.76,42.71,629.25,479400,1000,594,406
8316,(株)三井住友フィナンシャルグループ,4700,4880,4690,4783,4818,10470700,6763428,1414055625,3.14,150.0,8.6,0.71,555.87,6743.54,478300,100,5770,3902
8327,(株)西日本シティ銀行,319,330,315,318,323,3442000,253361,796732552,1.57,5.0,10.92,0.55,29.13,578.48,318000,1000,402,306
8331,(株)千葉銀行,850,867,836,840,859,5152000,735438,875521087,1.67,14.0,13.2,0.8,63.64,1053.67,840000,1000,1055,737
8332,(株)横浜銀行,707,731,700,708,719,3620000,888509,1254071054,1.55,11.0,12.18,0.9,58.16,786.62,708500,1000,858,606
8333,(株)常陽銀行,617,644,615,627,634,1690000,480427,766231875,1.83,11.5,15.9,0.74,39.43,852.4,627000,1000,760,554
8334,(株)群馬銀行,776,805,770,783,791,1680000,368705,470888177,1.4,11.0,13.59,0.67,57.63,1176.44,783000,1000,948,720
8354,(株)ふくおかフィナンシャルグループ,564,587,561,573,574,4235000,492644,859761868,2.09,12.0,13.3,0.64,43.08,894.33,573000,1000,739,541
8355,(株)静岡銀行,1214,1262,1211,1224,1238,1970000,814118,665129069,1.63,20.0,15.14,0.8,80.83,1528.19,1224000,1000,1519,999
